ig;nmo;id
"1,77";"42,19";1
"1,58";"37,37";2
"1,79";"47,19";3
"1,88";"50,63";4
"1,62";"24,69";5
"1,45";"47,17";6
"1,49";"24,33";7
"1,97";"50,57";9
"1,56";"26,61";10
"1,54";"29,01";11
"1,4";"33,76";12
"1,88";"27,38";13
"1,53";"25,24";14
"1,45";"23,79";15
"1,7";"52,84";16
"1,86";"34,85";17
"1,76";"30,86";18
"1,65";"33,6";19
"1,54";"45,42";20
"1,96";"59,55";21
"1,62";"47,17";22
"1,98";"47,54";23
"1,88";"32,55";24
"2,06";"68,43";25
"1,84";"46,19";26
"1,8";"30,83";27
"1,79";"45,53";29
"1,53";"27,01";30
"1,88";"32,04";31
"1,98";"43,47";32
"1,85";"33,83";33
"1,67";"29,8";34
"1,68";"30,17";35
"1,82";"36,06";36
"1,65";"35,8";37
"2,06";"46,69";38
"2,06";"47,96";39
"1,99";"51,25";40
"1,79";"53,36";41
"1,79";"49,85";42
"1,79";"59,2";43
"1,89";"44,44";44
"1,88";"49,07";45
"1,7";"44,14";46
"1,79";"36,32";47
"1,89";"47,84";48
"1,35";"36,19";49
"1,44";"37,21";50
"1,87";"39,54";51
"1,54";"29,32";52
"1,62";"35,16";53
"1,7";"38,49";54
"1,61";"26,29";55
"1,54";"37,17";56
"1,79";"39,78";57
"1,35";36;58
"1,62";"23,3";59
"1,62";"22,88";60
"1,67";"32,33";61
"1,62";"31,14";62
"1,8";"32,04";63
"1,8";"38,18";64
"1,97";"41,42";65
"2,41";"48,14";66
"1,97";"39,64";67
"1,98";"31,81";68
"1,62";"34,92";69
"2,23";"45,23";70
"1,98";"44,45";71
"1,89";"38,18";72
"1,79";"40,38";73
"2,23";"39,64";74
"1,59";"32,49";75
"1,8";"39,64";76
"1,79";"36,68";77
"1,49";"24,11";78
"1,71";"29,61";79
"1,69";"31,63";80
"1,97";"59,94";81
"1,79";"36,97";82
"1,49";"29,62";84
"1,98";"45,1";85
"1,86";"33,4";86
"1,96";"34,76";87
"1,62";"35,99";88
"1,74";"36,84";89
"1,66";"27,57";90
"1,55";"34,25";91
"1,58";"43,75";92
"2,24";"47,42";93
"2,23";"34,43";94
"1,97";"30,29";95
"1,97";"35,99";96
"1,54";"31,14";97
"2,32";"43,97";98
"1,7";"36,48";99
"1,53";"34,17";100
"2,33";"56,59";102
"1,88";"30,3";103
"2,14";"43,22";105
"1,97";"41,82";106
"1,98";"40,43";107
"1,79";"34,07";110
"1,7";"33,08";111
"1,88";"29,12";113
"1,98";"34,21";120
"1,56";"30,66";121
"1,7";"36,3";122
"1,68";"23,63";123
"1,55";"43,85";124
"1,97";"27,26";125
"2,32";"35,93";126
"1,97";"33,14";127
"1,59";"35,03";128
"1,88";"42,25";129
"1,68";"29,91";130
"1,8";"37,51";131
"1,62";"30,96";132
"1,78";"34,61";133
"1,7";"32,41";134
"1,8";"31,13";135
"1,54";"20,81";137
"1,88";"55,69";138
"1,67";"45,32";139
"1,58";"24,58";140
"1,61";"30,1";141
"1,96";"35,54";142
"2,23";"51,12";144
"1,62";"32,29";145
"1,54";"29,74";147
"1,88";"29,21";148
"1,35";25;149
"1,8";"28,88";150
"1,89";"41,52";151
"2,58";"49,74";152
"2,06";"41,16";153
"1,62";"35,51";154
"2,24";"44,44";155
"1,53";"35,28";156
"1,79";"40,37";157
"1,77";"36,74";158
"1,77";"40,97";160
"1,7";"38,44";161
"2,06";"32,35";162
"2,07";"36,17";163
"1,98";"39,52";165
"2,06";"45,55";169
"1,97";"52,03";170
"1,97";"55,43";171
"1,54";"35,27";172
"2,08";"43,66";173
"1,79";"42,11";174
"1,6";"48,16";175
"1,78";"42,48";176
"1,6";"24,32";177
"2,06";"40,37";178
"1,97";"46,93";179
"1,55";"33,83";180
"1,77";"37,87";181
"1,97";"37,64";182
"1,8";"41,22";183
"1,54";"29,13";184
"1,79";"26,17";185
"1,49";"37,34";186
"1,71";"37,87";189
"1,8";"30,59";191
"1,6";"31,56";192
"1,69";"43,66";193
"2,41";"52,03";194
"1,45";"35,45";195
"2,08";"48,06";196
"2,07";"51,56";197
"1,78";"38,61";198
"1,8";"33,32";199
"1,53";"25,5";201
"1,69";"34,99";203
"1,4";"41,95";205
"1,8";"31,68";206
"2,06";"50,59";208
"2,07";"46,68";209
"1,8";"44,43";211
"1,71";"38,31";213
"1,59";"36,94";214
"1,44";"28,34";216
"1,53";"46,2";217
"1,98";"29,8";218
"2,06";34;219
"1,98";"31,54";222
"1,97";"33,2";223
"2,18";"33,14";224
"1,7";"31,76";225
"1,79";"42,98";226
"2,17";"39,21";227
"2,06";"43,77";228
"1,97";"57,76";229
"1,79";"29,37";230
"2,08";"39,88";231
"2,06";"38,55";232
"1,97";"37,65";233
"1,7";"37,88";234
"1,62";"37,87";236
"2,06";"61,63";238
"1,97";"42,39";241
"1,7";"29,74";242
"1,59";"36,54";243
"1,79";"46,14";245
"1,88";"48,16";246
"1,69";"37,88";249
"1,88";"44,31";250
"1,54";"40,25";251
"1,7";"27,51";252
"1,42";"36,55";253
"1,88";"55,25";254
"1,49";"42,35";255
"1,62";"34,67";256
"2,14";"36,42";257
"2,07";"42,19";258
"1,89";"50,51";259
"1,7";"43,42";261
"1,97";"39,09";262
"2,06";"41,22";263
"1,89";"44,87";264
"2,32";"46,76";268
"1,96";"35,49";272
"1,88";"34,62";273
"1,62";"23,79";274
"2,06";"46,88";276
"1,53";"28,4";277
"1,71";"27,85";278
"1,98";"41,89";279
"2,06";"45,55";280
"1,77";"41,05";281
"1,87";"45,49";283
"1,99";"40,71";284
"2,16";"55,26";285
"1,79";"37,03";286
"1,79";"49,45";287
"1,79";"39,28";288
"1,98";"45,6";289
"1,79";"39,26";291
"1,53";"35,57";292
"1,8";"55,13";293
"1,44";"41,54";294
"1,97";"46,5";295
"1,62";"35,38";296
"1,45";"23,42";297
"1,7";"44,64";298
"1,65";"30,88";299
"2,24";"40,06";300
"1,89";"32,6";301
"1,35";"28,23";302
"1,7";"37,21";303
"1,44";"39,21";304
"1,69";"34,54";305
"1,78";"43,79";306
"2,06";"75,05";307
"1,88";"41,46";308
"1,97";"53,69";309
"1,88";"35,04";310
"1,97";"38,06";311
"2,17";"36,75";312
"1,54";"54,46";313
"1,62";"44,15";314
"1,7";"43,22";315
"2,15";"44,13";316
