ig;nmo;id
"2,24";"76,6";Branquinho
"2,12";"37,12";Jamapa
"1,26";"17,27";Puebla
"1,77";"42,1";1
"1,57";"37,27";2
"1,78";"46,94";3
"1,87";"50,55";4
"1,62";"24,59";5
"1,44";"47,1";6
"1,48";"24,14";7
"1,96";"50,49";9
"1,55";"26,45";10
"1,53";"28,96";11
"1,39";"33,54";12
"1,87";"27,34";13
"1,53";"25,13";14
"1,44";"23,75";15
"1,7";"52,58";16
"1,86";"34,78";17
"1,76";"30,74";18
"1,64";"33,51";19
"1,53";"45,21";20
"1,95";"59,42";21
"1,62";"47,03";22
"1,97";"47,46";23
"1,87";"32,33";24
"2,05";"68,32";25
"1,84";"46,13";26
"1,79";"30,78";27
"1,78";"45,29";29
"1,52";"26,96";30
"1,88";"31,93";31
"1,97";"43,4";32
"1,84";"33,65";33
"1,66";"29,71";34
"1,68";"30,09";35
"1,81";"35,87";36
"1,65";"35,67";37
"2,05";"46,61";38
"2,06";"47,82";39
"1,98";"51,21";40
"1,78";"53,11";41
"1,78";"49,77";42
"1,78";59;43
"1,88";"44,37";44
"1,87";"48,82";45
"1,7";"44,06";46
"1,79";"36,14";47
"1,88";"47,77";48
"1,34";"35,97";49
"1,43";"37,15";50
"1,87";"39,45";51
"1,53";"29,27";52
"1,61";"34,93";53
"1,7";"38,42";54
"1,6";"26,26";55
"1,53";"37,05";56
"1,78";"39,54";57
"1,34";"35,94";58
"1,62";"23,19";59
"1,61";"22,84";60
"1,66";"32,12";61
"1,61";"31,09";62
"1,79";"31,93";63
"1,79";"38,12";64
"1,96";"41,18";65
"2,4";"48,07";66
"1,97";"39,51";67
"1,97";"31,75";68
"1,61";"34,69";69
"2,22";"45,16";70
"1,98";"44,28";71
"1,88";"38,12";72
"1,78";"40,15";73
"2,22";"39,58";74
"1,59";"32,33";75
"1,79";"39,58";76
"1,78";"36,45";77
"1,49";"24,09";78
"1,71";"29,5";79
"1,68";"31,6";80
"1,96";"59,68";81
"1,78";"36,91";82
"1,49";"29,5";84
"1,97";"45,01";85
"1,85";"33,21";86
"1,95";"34,65";87
"1,62";"35,87";88
"1,73";"36,68";89
"1,65";"27,38";90
"1,54";"34,2";91
"1,58";"43,65";92
"2,23";"47,34";93
"2,22";"34,21";94
"1,96";"30,24";95
"1,97";"35,87";96
"1,53";"31,09";97
"2,31";"43,73";98
"1,7";"36,42";99
"1,53";"34,05";100
"2,32";"56,5";102
"1,87";"30,08";103
"2,14";"43,15";105
"1,97";"41,69";106
"1,97";"40,37";107
"1,78";"33,84";110
"1,7";"33,03";111
"1,88";"28,98";113
"1,97";"34,18";120
"1,56";"30,45";121
"1,7";"36,24";122
"1,68";"23,57";123
"1,54";"43,64";124
"1,96";"27,05";125
"2,31";"35,88";126
"1,97";"33,02";127
"1,58";"34,98";128
"1,87";"42,02";129
"1,67";"29,86";130
"1,79";"37,39";131
"1,61";"30,9";132
"1,78";"34,39";133
"1,7";"32,36";134
"1,79";"31,02";135
"1,53";"20,78";137
"1,87";"55,43";138
"1,66";"45,21";139
"1,58";"24,55";140
"1,6";"29,97";141
"1,95";"35,37";142
"2,22";"51,04";144
"1,62";"32,17";145
"1,53";"29,69";147
"1,87";"28,99";148
"1,34";"24,96";149
"1,79";"28,77";150
"1,88";"41,46";151
"2,57";"49,49";152
"2,05";"41,09";153
"1,62";"35,38";154
"2,23";"44,37";155
"1,52";"35,06";156
"1,78";"40,3";157
"1,77";"36,68";158
"1,76";"40,85";160
"1,7";"38,21";161
"2,05";"32,3";162
"2,07";"36,01";163
"1,97";"39,48";165
"2,05";"45,31";169
"1,96";"51,95";170
"1,97";"55,28";171
"1,53";"35,21";172
"2,07";"43,42";173
"1,78";"42,08";174
"1,59";"47,95";175
"1,77";"42,38";176
"1,59";"24,12";177
"2,05";"40,3";178
"1,97";"46,79";179
"1,54";"33,76";180
"1,76";"37,66";181
"1,96";"37,57";182
"1,79";"41,09";183
"1,53";"29,09";184
"1,78";"25,96";185
"1,48";"37,29";186
"1,71";"37,75";189
"1,79";"30,54";191
"1,59";"31,35";192
"1,68";"43,63";193
"2,41";"51,88";194
"1,44";"35,39";195
"2,07";"47,81";196
"2,06";"51,43";197
"1,78";"38,47";198
"1,79";"33,27";199
"1,52";"25,29";201
"1,68";"34,98";203
"1,4";"41,75";205
"1,79";"31,63";206
"2,05";"50,34";208
"2,06";"46,63";209
"1,79";"44,3";211
"1,7";"38,24";213
"1,58";"36,72";214
"1,43";"28,3";216
"1,53";"46,06";217
"1,97";"29,75";218
"2,05";"33,78";219
"1,97";"31,52";222
"1,97";"33,08";223
"2,17";"33,13";224
"1,7";"31,54";225
"1,78";"42,91";226
"2,17";"39,05";227
"2,05";"43,7";228
"1,96";"57,5";229
"1,78";"29,33";230
"2,08";"39,69";231
"2,05";"38,49";232
"1,96";"37,42";233
"1,7";"37,82";234
"1,62";"37,75";236
"2,05";"61,53";238
"1,96";"42,15";241
"1,7";"29,69";242
"1,59";"36,41";243
"1,78";"46,11";245
