"ig","nmo","id"
1.83,65.02,"X1"
1.56,26.61,"X10"
NA,NA,"X101"
2.33,56.59,"X102"
1.88,30.3,"X103"
NA,NA,"X104"
2.14,43.22,"X105"
NA,NA,"X108"
NA,NA,"X109"
1.54,29.01,"X11"
1.79,34.07,"X110"
NA,NA,"X114"
NA,NA,"X115"
NA,NA,"X116"
NA,NA,"X117"
1.4,33.76,"X12"
1.56,30.66,"X121"
1.68,23.63,"X123"
1.55,43.85,"X124"
1.59,35.03,"X128"
1.68,29.91,"X130"
1.8,37.51,"X131"
1.62,30.96,"X132"
NA,NA,"X136"
1.53,25.24,"X14"
1.61,30.1,"X141"
2.23,51.12,"X144"
1.35,25,"X149"
2.58,49.74,"X152"
1.62,35.51,"X154"
1.77,36.74,"X158"
NA,NA,"X159"
2.07,36.17,"X163"
1.86,34.85,"X17"
2.06,40.37,"X178"
1.97,37.64,"X182"
1.8,41.22,"X183"
1.79,26.17,"X185"
1.49,37.34,"X186"
NA,NA,"X187"
NA,NA,"X188"
1.65,33.6,"X19"
NA,NA,"X190"
1.69,43.66,"X193"
1.58,37.37,"X2"
1.54,45.42,"X20"
NA,NA,"X200"
NA,NA,"X202"
NA,NA,"X204"
1.8,31.68,"X206"
NA,NA,"X207"
2.06,50.59,"X208"
2.07,46.68,"X209"
1.96,59.55,"X21"
1.59,36.94,"X214"
1.53,46.2,"X217"
2.06,34,"X219"
NA,NA,"X220"
1.98,31.54,"X222"
1.97,33.2,"X223"
1.79,42.98,"X226"
2.17,39.21,"X227"
2.06,43.77,"X228"
1.97,57.76,"X229"
1.98,47.54,"X23"
1.79,29.37,"X230"
1.97,37.65,"X233"
2.06,61.63,"X238"
1.88,32.55,"X24"
NA,NA,"X244"
1.88,48.16,"X246"
2.06,68.43,"X25"
1.42,36.55,"X253"
2.07,42.19,"X258"
NA,NA,"X260"
2.06,41.22,"X263"
NA,NA,"X266"
2.32,46.76,"X268"
NA,NA,"X270"
NA,NA,"X271"
NA,NA,"X275"
2.06,46.88,"X276"
1.98,41.89,"X279"
NA,NA,"X28"
NA,NA,"X282"
1.79,37.03,"X286"
1.79,49.45,"X287"
1.79,39.28,"X288"
1.79,39.26,"X291"
1.53,35.57,"X292"
1.44,41.54,"X294"
1.97,46.5,"X295"
1.79,47.19,"X3"
1.44,39.21,"X304"
2.06,75.05,"X307"
1.88,41.46,"X308"
1.88,32.04,"X31"
1.54,54.46,"X313"
1.89,38.12,"X317"
1.98,43.47,"X32"
2.08,54.55,"X321"
1.59,34.68,"X322"
NA,NA,"X326"
1.79,38.59,"X330"
1.44,35.46,"X331"
1.71,35.2,"X335"
NA,NA,"X336"
1.67,29.8,"X34"
NA,NA,"X341"
NA,NA,"X343"
NA,NA,"X345"
1.88,33.63,"X347"
2.24,30.28,"X349"
1.68,30.17,"X35"
1.71,27.92,"X350"
1.62,29.25,"X352"
NA,NA,"X353"
NA,NA,"X354"
2.06,36.6,"X357"
1.97,47.37,"X359"
1.82,36.06,"X36"
1.98,40.43,"X362"
NA,NA,"X363"
NA,NA,"X364"
1.65,35.8,"X37"
NA,NA,"X373"
NA,NA,"X374"
1.88,34.42,"X378"
1.53,39.88,"X379"
2.06,46.69,"X38"
1.98,38.16,"X381"
1.97,32.52,"X385"
1.88,34.07,"X386"
NA,NA,"X391"
1.98,36.71,"X393"
1.99,37.47,"X394"
1.4,39.78,"X395"
NA,NA,"X397"
1.71,34.53,"X398"
1.5,23.93,"X399"
1.88,50.63,"X4"
1.99,51.25,"X40"
1.44,23.01,"X400"
1.88,33,"X401"
1.62,28.4,"X406"
1.89,34.11,"X407"
NA,NA,"X415"
1.44,30.16,"X417"
1.8,42.31,"X419"
1.79,49.85,"X42"
1.59,49.62,"X422"
2.5,49.13,"X424"
1.7,40.49,"X425"
1.79,59.2,"X43"
1.88,49.07,"X45"
1.7,44.14,"X46"
1.89,47.84,"X48"
1.35,36.19,"X49"
1.62,24.69,"X5"
1.44,37.21,"X50"
1.87,39.54,"X51"
1.54,29.32,"X52"
1.62,35.16,"X53"
1.7,38.49,"X54"
1.61,26.29,"X55"
1.54,37.17,"X56"
1.79,39.78,"X57"
1.62,23.3,"X59"
1.45,47.17,"X6"
1.62,31.14,"X62"
2.41,48.14,"X66"
1.97,39.64,"X67"
1.98,31.81,"X68"
1.49,24.33,"X7"
2.23,45.23,"X70"
1.79,40.38,"X73"
1.8,39.64,"X76"
1.49,24.11,"X78"
1.71,29.61,"X79"
NA,NA,"X8"
1.97,59.94,"X81"
1.49,29.62,"X84"
1.98,45.1,"X85"
1.74,36.84,"X89"
1.66,27.57,"X90"
1.55,34.25,"X91"
1.58,43.75,"X92"
2.24,47.42,"X93"
2.23,34.43,"X94"
1.97,30.29,"X95"
1.54,31.14,"X97"
1.7,36.48,"X99"
